,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
407,1992,Spain,68,69,Spain,575599000000.0,ESP,39157685.0
408,1992,Suriname,1,1,Spain,448300000.0,SUR,422763.0
409,1992,Sweden,32,35,Spain,270363000000.0,SWE,8668067.0
410,1992,Switzerland,1,1,Spain,,CHE,6875364.0
411,1992,Taiwan,20,20,Spain,,TPE,20982.088
412,1992,Thailand,1,1,Spain,98234695722.0,THA,57837878.0
413,1992,Turkey,6,6,Spain,150028000000.0,TUR,55748875.0
414,1992,UK,47,50,Spain,1142800000000.0,GBR,57580402.0
415,1992,USA,185,224,Spain,6174040000000.0,USA,256514000.0
416,1996,Algeria,3,3,USA,,DZA,29411415.0
417,1996,Argentina,20,20,USA,258032000000.0,ARG,35419682.0
418,1996,Armenia,2,2,USA,1468317350.0,ARM,3168215.0
419,1996,Australia,123,132,USA,368392000000.0,AUS,18311000.0
